review_length,rating,num_exclamation_marks,contains_question_mark,uppercase_ratio,helpful_votes,is_helpful
276,5,7,0,0.04003407155,7,1
276,5,1,1,0.03539019964,0,0
275,4,3,0,0.02836230558,0,0
275,5,1,1,0.0294627383,23,1
274,5,1,0,0.02466960352,5,1
274,5,0,0,0.06459731544,9,1
273,2,0,0,0.02684563758,1,0
272,3,0,0,0.03195164076,16,1
272,5,5,0,0.03111858705,0,0
271,5,1,0,0.021957914,3,1
271,5,3,0,0.03194578896,3,1
271,5,0,1,0.04372093023,6,1
270,5,0,0,0.04335047759,34,1
270,5,0,0,0.03044280443,13,1
269,3,0,0,0.02033271719,0,0
269,5,0,0,0.02491408935,39,1
269,5,1,0,0.03375527426,1,0
269,5,3,0,0.03321678322,0,0
269,5,1,0,0.04653284672,18,1
268,5,2,1,0.05555555556,13,1
267,4,0,1,0.04875804968,454,1
267,5,0,0,0.05830388693,4,1
266,5,1,1,0.07711038961,3,1
266,5,8,0,0.01369863014,42,1
266,5,1,0,0.02829268293,0,0
266,5,1,0,0.03671328671,6,1
266,5,0,0,0.02048085485,1,0
265,5,0,0,0.02408477842,2,0
265,5,2,0,0.04492362983,18,1
265,5,0,0,0.05789056305,3,1
264,5,6,0,0.04299065421,9,1
264,5,0,0,0.02162629758,23,1
263,1,0,1,0.03495860166,1,0
263,5,2,0,0.02598566308,88,1
262,4,0,0,0.0329566855,0,0
262,5,5,0,0.04221635884,6,1
262,5,0,0,0.02573203194,5,1
261,5,0,0,0.02726387537,4,1
260,5,1,0,0.02301587302,19,1
259,4,0,0,0.04241877256,47,1
259,5,0,0,0.02447869447,3,1
258,1,0,0,0.0203892493,5,1
258,3,0,0,0.03176043557,1,0
258,5,1,1,0.03213242454,4,1
257,4,1,0,0.0366088632,2,0
257,4,1,1,0.03116147309,1,0
257,4,1,0,0.01743679163,1,0
256,5,1,0,0.02159468439,10,1
255,4,1,0,0.03177570093,5,1
255,5,3,0,0.02759276879,17,1
255,5,7,0,0.04037267081,9,1
254,3,0,0,0.03827751196,2,0
253,3,0,0,0.02178217822,16,1
253,4,0,0,0.03564356436,0,0
251,1,0,0,0.02874132805,1,0
251,5,0,1,0.02957486137,3,1
251,5,2,0,0.1004484305,1,0
251,5,3,0,0.01602262017,7,1
250,5,1,0,0.01115241636,0,0
249,1,0,1,0.0371040724,12,1
249,4,2,0,0.02510040161,32,1
248,2,0,0,0.03468208092,0,0
246,3,0,0,0.04296160878,5,1
246,4,0,0,0.02480916031,3,1
246,4,0,0,0.03122043519,3,1
246,5,1,0,0.02593659942,4,1
246,5,0,0,0.04047384008,12,1
244,3,1,0,0.08281573499,89,1
244,5,4,0,0.03501945525,1,0
244,5,0,0,0.02564102564,1,0
243,1,2,1,0.04066736184,11,1
243,5,0,0,0.01828681424,3,1
242,1,0,0,0.04351939451,7,1
242,4,1,1,0.02854511971,0,0
242,5,0,0,0.04593070105,1,0
242,5,0,1,0.04588910134,3,1
242,5,1,0,0.03389830508,0,0
241,1,0,0,0.0222007722,74,1
241,1,4,0,0.02990033223,5,1
241,4,0,0,0.0205908684,1,0
241,4,0,0,0.01588877855,6,1
240,2,0,0,0.02006688963,7,1
240,3,2,0,0.08780036969,0,0
240,5,0,0,0.03049907579,0,0
240,5,2,0,0.04081632653,8,1
239,5,0,0,0.04137931034,3,1
239,5,1,0,0.01666666667,12,1
238,1,4,0,0.05703771849,0,0
238,2,0,0,0.02975557917,3,1
238,4,1,0,0.02277227723,7,1
238,5,0,0,0.03021718602,6,1
238,5,1,0,0.02507836991,4,1
238,5,8,0,0.04819277108,48,1
238,5,8,0,0.04819277108,48,1
237,4,0,0,0.02294056309,5,1
237,5,0,0,0.03672612802,0,0
237,5,1,0,0.01912260967,11,1
236,4,1,0,0.02140077821,3,1
236,5,1,0,0.04261645193,0,0
236,5,0,0,0.0430210325,1,0
235,3,1,0,0.0270018622,4,1
235,5,3,0,0.01203501094,0,0
234,5,2,0,0.02652519894,3,1
233,1,2,1,0.03923647932,5,1
233,3,1,0,0.05,5,1
233,5,0,0,0,15,1
232,3,0,0,0.01574074074,6,1
232,5,7,0,0.03803803804,2,0
231,1,1,1,0.04031465093,3,1
231,3,3,1,0.07359307359,15,1
231,3,1,1,0.03018867925,2,0
231,5,0,0,0.03825136612,0,0
230,2,0,1,0.03773584906,38,1
230,5,4,0,0.01986097319,12,1
230,5,0,0,0.03806584362,4,1
229,1,1,1,0.05492227979,41,1
229,4,0,0,0.01935483871,0,0
229,5,1,0,0.04025423729,28,1
229,5,3,1,0.03171247357,6,1
228,2,0,0,0.05497076023,1,0
228,5,3,0,0.04269449715,1,0
228,5,3,0,0.05456570156,6,1
228,5,0,0,0.02705749718,4,1
228,5,0,0,0.03492063492,5,1
228,5,3,0,0.05456570156,6,1
228,5,0,0,0.02164502165,3,1
227,2,0,0,0.06404958678,4,1
227,5,0,0,0.02950474183,3,1
227,5,2,0,0.05210420842,1,0
226,4,0,0,0.09613983977,49,1
226,5,0,0,0.02195608782,4,1
226,5,0,0,0.01899335233,9,1
225,4,0,0,0.02670349908,0,0
225,4,1,0,0.0288153682,2,0
225,5,1,0,0.01767955801,3,1
224,2,0,0,0.02363050483,6,1
224,5,0,0,0.04231166151,1,0
224,5,0,1,0.0327510917,1,0
224,5,0,0,0.04274465692,8,1
223,4,3,0,0.03318077803,0,0
222,1,0,1,0.06786850477,6,1
222,4,0,0,0.03622392975,0,0
222,5,8,0,0.03944315545,3,1
222,5,0,0,0.03523693803,17,1
221,3,0,0,0.0269058296,12,1
221,5,0,0,0.0334412082,32,1
220,1,1,0,0.03085714286,4,1
220,4,0,1,0.01388888889,2,0
220,4,0,0,0.04121475054,0,0
220,5,0,0,0.01923076923,91,1
219,3,6,0,0.02447163515,5,1
219,4,0,0,0.02932254803,10,1
219,4,0,1,0.01399491094,0,0
219,5,0,0,0.02709359606,4,1
218,2,0,0,0.03053435115,5,1
218,3,0,0,0.03555555556,0,0
218,3,2,0,0.06,0,0
218,5,1,0,0.02576112412,14,1
217,1,1,0,0.04730983302,4,1
217,1,3,0,0.0295404814,8,1
217,2,0,0,0.04710500491,4,1
217,2,0,0,0.01655629139,3,1
217,3,0,0,0.03506907545,3,1
217,4,0,0,0.0404040404,0,0
216,2,0,0,0.05687203791,0,0
216,4,0,0,0.02491103203,3,1
216,4,2,0,0.03759398496,0,0
216,5,1,0,0.02884615385,16,1
216,5,0,0,0.03658536585,3,1
215,1,2,0,0.03718199609,3,1
215,2,1,0,0.04367301232,0,0
215,5,0,0,0.04191616766,29,1
215,5,0,0,0.03494926719,0,0
214,1,1,0,0.03743315508,0,0
214,3,0,0,0.01545778835,0,0
214,3,2,0,0.03288797533,48,1
214,5,0,0,0.03225806452,3,1
214,5,0,0,0.03618421053,0,0
214,5,1,0,0.02587176603,3,1
213,3,1,0,0.02549889135,3,1
213,4,0,0,0.03125,5,1
213,5,9,1,0.04517704518,0,0
212,1,0,1,0.02265372168,7,1
212,1,4,0,0.102062975,7,1
212,2,3,0,0.02380952381,10,1
212,4,0,0,0.05166846071,3,1
212,5,1,0,0.03678929766,2,0
212,5,2,1,0.008781558727,3,1
212,5,2,1,0.008781558727,3,1
212,5,0,0,0.04994686504,6,1
212,5,4,1,0.04545454545,133,1
212,5,3,0,0.03680981595,1,0
211,4,0,0,0.03771428571,3,1
211,5,0,0,0.027479092,1,0
211,5,1,1,0.05654450262,7,1
211,5,0,0,0.03963759909,3,1
211,5,0,0,0.03433476395,3,1
211,5,1,0,0.01785714286,2,0
210,1,7,1,0.1680327869,7,1
210,1,0,0,0.1774193548,6,1
209,5,1,0,0.02699784017,4,1
209,5,0,1,0.03007518797,13,1
209,5,0,0,0.04816513761,3,1
208,5,0,0,0.02876869965,4,1
208,5,1,0,0.02552204176,5,1
208,5,0,0,0.02019002375,2,0
207,5,6,0,0.04812206573,12,1
206,5,2,0,0.02095459837,2,0
206,5,0,0,0.02816901408,2,0
205,5,8,0,0.03389830508,5,1
204,3,1,0,0.03674832962,3,1
204,4,1,1,0.03015075377,29,1
204,5,1,1,0.02919708029,0,0
204,5,3,1,0.06140350877,5,1
203,1,3,0,0.02046035806,0,0
203,1,0,1,0.05251641138,11,1
203,5,2,0,0.05037783375,1,0
203,5,11,0,0.03117505995,11,1
203,5,3,1,0.01832760596,5,1
202,4,2,0,0.01734104046,0,0
202,5,0,0,0.01752336449,0,0
202,5,5,0,0.02090592334,4,1
202,5,1,0,0.03170731707,5,1
202,5,5,0,0.02090592334,4,1
202,5,4,0,0.02857142857,11,1
201,1,0,0,0.02470588235,1,0
201,1,0,1,0.03366583541,3,1
201,3,0,0,0.03778337531,2,0
201,5,3,0,0.02272727273,1,0
201,5,2,0,0.03254067584,4,1
200,5,2,0,0.03240740741,7,1
200,5,3,0,0.01570048309,4,1
200,5,4,0,0.02497027348,3,1
200,5,0,0,0.06134259259,4,1
199,1,0,1,0.02243211334,3,1
199,1,0,1,0.04,3,1
199,2,4,0,0.02795425667,7,1
199,5,0,0,0,4,1
199,5,1,0,0.03837471783,6,1
199,5,1,0,0.03255813953,2,0
199,5,0,0,0.02552204176,0,0
198,1,0,0,0.0249017038,4,1
198,5,0,0,0.08784473953,18,1
198,5,0,0,0.01597051597,4,1
197,4,0,0,0.01390644753,4,1
197,4,0,0,0.02702702703,2,0
197,5,2,0,0.06527093596,5,1
196,1,0,0,0.04322429907,8,1
196,2,0,0,0.06394129979,0,0
196,5,2,0,0.04423748545,12,1
196,5,2,0,0.04423748545,12,1
196,5,9,1,0.005141388175,1,0
195,2,2,0,0.06027667984,5,1
195,2,0,1,0.04702970297,3,1
195,5,0,0,0.0476900149,4,1
195,5,1,0,0.03738317757,3,1
195,5,0,0,0.02176541717,4,1
195,5,1,0,0.0368852459,9,1
194,4,0,1,0.02155688623,4,1
194,5,2,0,0.05405405405,1,0
194,5,0,0,0.03381014304,15,1
194,5,2,0,0.01910828025,6,1
193,4,0,1,0.02520045819,0,0
193,5,6,0,0.03673938002,0,0
193,5,0,0,0.03861003861,10,1
193,5,7,0,0.02010723861,1,0
193,5,0,0,0.001206272618,0,0
193,5,3,0,0.03234152652,5,1
192,3,1,0,0.02603550296,1,0
192,3,0,0,0.01761517615,0,0
192,4,1,0,0.03264812576,1,0
192,4,0,1,0.02275312856,4,1
192,5,0,0,0.04184549356,8,1
192,5,0,0,0.04184549356,8,1
192,5,1,0,0.03550295858,3,1
191,1,5,0,0.03399765533,18,1
191,4,2,1,0.04342105263,3,1
191,4,0,0,0.0198938992,0,0
191,5,0,0,0.05012224939,0,0
191,5,0,0,0.04731457801,3,1
191,5,3,0,0.04905660377,3,1
190,2,0,0,0.02160101652,0,0
190,3,1,0,0.01994680851,7,1
190,5,0,0,0.03543307087,14,1
190,5,2,0,0.03886010363,5,1
190,5,1,0,0.03116883117,16,1
189,1,0,1,0.01728723404,0,0
189,4,0,0,0.04283965728,0,0
189,5,2,0,0.02770448549,1,0
189,5,0,0,0.06936416185,0,0
189,5,0,0,0.02764423077,1,0
188,4,0,0,0.02845528455,12,1
188,5,0,0,0.01851851852,3,1
188,5,6,1,0.05416116248,0,0
188,5,0,0,0.03909205549,3,1
186,3,0,0,0.02960969044,0,0
186,4,0,0,0.02409638554,0,0
186,4,0,0,0.02153432032,7,1
186,5,1,0,0.01690507152,3,1
186,5,0,0,0.03799019608,4,1
186,5,4,0,0.04005340454,11,1
186,5,2,1,0.04020100503,2,0
186,5,0,0,0.02699228792,24,1
185,5,2,0,0.03049555273,0,0
184,2,1,0,0.03140703518,4,1
184,3,0,0,0.02505694761,3,1
184,5,0,1,0.04319371728,16,1
184,5,0,0,0.0272479564,0,0
183,5,4,0,0.03280839895,3,1
183,5,3,0,0.01960784314,1,0
183,5,0,0,0.04333694475,4,1
183,5,2,0,0.02582496413,5,1
182,1,1,1,0.02261306533,33,1
182,2,0,0,0.02560819462,4,1
182,2,0,0,0.05213903743,1,0
182,4,0,0,0.01822916667,43,1
182,5,0,1,0.01949860724,2,0
182,5,0,0,0.0278833967,0,0
182,5,3,0,0.02303523035,3,1
182,5,1,0,0.02380952381,0,0
182,5,3,0,0.02592087312,0,0
182,5,1,0,0.02662721893,0,0
181,1,1,1,0.02983138781,0,0
181,1,0,0,0.05,2,0
181,1,0,0,0.03217158177,4,1
181,2,0,0,0.02803738318,0,0
181,4,0,0,0.03191489362,0,0
181,4,0,0,0.02774108322,0,0
181,4,2,0,0.2182284981,0,0
181,5,2,0,0.04378698225,5,1
181,5,0,0,0.01908396947,19,1
180,1,7,1,0.1235521236,17,1
180,1,1,1,0.07352941176,10,1
180,2,0,0,0.03157894737,1,0
180,4,0,0,0.01178010471,0,0
180,5,1,1,0.02979274611,6,1
180,5,0,0,0.03008595989,14,1
180,5,1,0,0.02558139535,7,1
180,5,1,0,0.02448979592,3,1
180,5,1,0,0.03513513514,24,1
180,5,0,0,0.0253929867,3,1
180,5,3,0,0.03163686382,6,1
180,5,1,1,0.04366197183,59,1
179,1,0,0,0.02961918195,3,1
179,1,0,1,0.03448275862,24,1
179,2,0,1,0.0152866242,0,0
179,3,3,0,0.01943005181,1,0
179,4,0,1,0.02721088435,3,1
179,4,0,0,0.07314148681,15,1
179,5,0,0,0.0401459854,8,1
179,5,0,0,0.0401459854,8,1
179,5,0,0,0.0401459854,8,1
179,5,2,0,0.04090267983,6,1
179,5,0,0,0.03146374829,32,1
178,1,1,0,0.05125148987,5,1
178,3,0,0,0.03299856528,1,0
178,5,3,0,0.0380078637,1,0
178,5,0,0,0.03128621089,36,1
178,5,2,0,0.03238866397,1,0
178,5,1,0,0.02377622378,3,1
177,1,0,0,0.03258145363,0,0
177,5,1,0,0.06922126082,0,0
177,5,2,1,0.02294197031,0,0
177,5,0,0,0.01790633609,29,1
176,1,0,0,0.01726427623,3,1
176,1,0,0,0.01333333333,0,0
176,1,0,0,0.01726427623,3,1
176,1,5,1,0.03641881639,14,1
176,1,0,0,0.01726427623,3,1
176,5,0,0,0.04400977995,16,1
176,5,1,0,0.02876712329,12,1
176,5,1,0,0.02884615385,2,0
176,5,0,0,0.03937007874,1,0
176,5,0,0,0.02421652422,82,1
176,5,4,1,0.03194444444,3,1
175,1,2,0,0.02840909091,8,1
175,3,0,0,0.03015873016,0,0
175,4,0,0,0.02717391304,4,1
175,5,8,0,0.03142076503,0,0
175,5,0,1,0.0358056266,3,1
175,5,0,0,0.02523240372,4,1
174,1,0,0,0.02319236016,3,1
174,2,0,0,0.03290414878,1,0
174,3,3,1,0.04599211564,7,1
174,3,0,0,0.03443877551,0,0
174,3,0,0,0.01872659176,11,1
174,4,1,0,0.06215469613,2,0
174,4,2,0,0.03628447025,0,0
174,4,0,0,0.03201024328,16,1
174,5,1,0,0.04137931034,5,1
174,5,0,0,0.04667609618,3,1
174,5,0,0,0.01988636364,6,1
174,5,1,0,0.02038043478,14,1
174,5,1,1,0.02445652174,0,0
173,3,1,0,0.03347280335,6,1
173,4,0,0,0.03547066849,14,1
173,5,0,0,0.0303030303,4,1
173,5,0,0,0.01915184679,1,0
173,5,0,0,0.02588555858,9,1
173,5,0,0,0.05591677503,2,0
172,2,0,0,0.06676342525,3,1
172,5,0,0,0.03484848485,1,0
172,5,0,0,0.01867816092,2,0
171,1,0,0,0.01295336788,8,1
171,4,0,0,0.01557632399,5,1
171,4,1,1,0.02225312935,0,0
171,5,1,0,0.01649175412,4,1
171,5,3,0,0.02425876011,3,1
171,5,1,0,0.02332361516,19,1
170,1,1,0,0.0376344086,3,1
170,2,0,1,0.05116959064,4,1
170,3,0,0,0.04067321178,9,1
170,4,2,0,0.0248447205,1,0
170,4,0,0,0.0233702337,3,1
170,5,0,0,0.04592592593,2,0
170,5,1,0,0.03296703297,26,1
170,5,1,0,0.02687411598,4,1
169,1,0,0,0.01871657754,26,1
169,1,1,0,0.03022670025,5,1
169,1,0,1,0.02752293578,5,1
169,3,0,0,0.03212851406,0,0
169,4,0,0,0.0173564753,2,0
169,5,0,0,0.04202898551,0,0
168,3,0,0,0.02879581152,1,0
168,5,2,0,0.02790014684,5,1
168,5,2,0,0.03138373752,0,0
168,5,0,0,0.0235640648,3,1
167,2,7,1,0.06258890469,2,0
167,5,0,0,0.02322580645,0,0
167,5,1,0,0.0404040404,5,1
167,5,0,0,0.04101838755,11,1
167,5,5,0,0.05726256983,4,1
166,1,0,0,0.03709198813,5,1
166,1,0,0,0.04329004329,6,1
166,4,0,0,0.02116402116,10,1
166,5,3,1,0.05205479452,1,0
166,5,0,0,0.01955307263,6,1
166,5,0,0,0.01277955272,3,1
165,3,0,0,0.02302158273,4,1
165,4,0,0,0,72,1
165,5,6,0,0.02228412256,10,1
165,5,8,0,0.04033379694,0,0
165,5,0,0,0.04297994269,35,1
165,5,3,1,0.02818991098,5,1
165,5,0,0,0.03120124805,5,1
164,4,1,0,0.02037617555,0,0
164,5,0,0,0.04148783977,3,1
164,5,0,0,0.02722063037,3,1
164,5,1,0,0.1036414566,2,0
164,5,0,0,0.02023121387,8,1
164,5,2,0,0.0407523511,1,0
163,1,0,0,0.01895043732,0,0
163,1,4,0,0.02404526167,9,1
163,1,0,0,0.03641092328,3,1
163,2,0,0,0.01719197708,45,1
163,3,0,1,0.04105571848,3,1
163,5,0,0,0.01940298507,14,1
163,5,0,0,0.01975683891,0,0
163,5,2,0,0.02034883721,5,1
162,1,3,0,0.06951871658,8,1
162,2,0,1,0.03172205438,7,1
162,2,1,0,0.02525252525,0,0
162,4,0,0,0.02077151335,16,1
162,5,0,0,0.04407294833,0,0
162,5,0,0,0.03333333333,0,0
162,5,15,0,0.02865761689,9,1
162,5,0,0,0.029455081,1,0
162,5,1,0,0.01470588235,5,1
162,5,1,0,0.02040816327,7,1
162,5,15,0,0.02865761689,9,1
162,5,0,0,0.02228826152,4,1
161,1,0,0,0.01183431953,4,1
161,1,0,0,0.08401084011,6,1
161,2,0,0,0.04034582133,0,0
161,3,1,0,0.03217821782,6,1
161,3,1,0,0.0166163142,0,0
161,4,2,0,0.0178041543,3,1
161,4,0,0,0.03058510638,0,0
161,5,0,0,0.02135231317,1,0
161,5,1,0,0.02050473186,0,0
161,5,0,0,0.03720930233,4,1
160,1,0,0,0.02887537994,3,1
160,5,1,0,0.04321907601,5,1
160,5,0,0,0.02208201893,0,0
160,5,1,0,0.03070175439,4,1
160,5,1,0,0.03720238095,3,1
160,5,1,0,0.02954898911,5,1
160,5,1,0,0.03125,9,1
159,5,1,0,0.026272578,2,0
159,5,3,0,0.03071672355,11,1
159,5,0,0,0.01966717095,8,1
159,5,2,1,0.02610114192,0,0
159,5,0,0,0.02177554439,0,0
159,5,2,0,0.0113960114,14,1
158,1,0,0,0.02308802309,17,1
158,2,0,1,0.02593659942,12,1
158,3,0,0,0.0202020202,3,1
158,3,0,0,0.03676470588,9,1
158,4,0,0,0.02431610942,0,0
158,4,0,1,0.03511450382,0,0
158,5,0,0,0.03816793893,1,0
158,5,3,0,0.01756756757,9,1
158,5,1,0,0.02791461412,2,0
157,4,0,0,0.02047244094,7,1
157,5,0,0,0.03703703704,0,0
157,5,0,0,0.02205882353,0,0
156,2,0,0,0.0325443787,1,0
156,2,0,0,0.03125,1,0
156,2,0,0,0.03418803419,3,1
156,4,0,0,0.0283286119,3,1
156,5,0,0,0.02990033223,2,0
